movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,prdtStatNm,typeNm,nationNm,genres_1,genres_2,directorNm,directorNmEn,actor1_Nm,actor1_NmEn,watchGradeNm,dist_companyCd,dist_companyNm,dist_companyNmEn
20193343,작은 엄마 2,,61.0,2019.0,20200330,개봉,장편,한국,멜로/로맨스,,김환,,이은미,LEE Eun-mi,청소년관람불가,20161021.0,(주)영화사가을,
20205095,막내 처제 2,,70.0,2020.0,20200312,개봉,장편,한국,멜로/로맨스,,정진호,,,,청소년관람불가,20169329.0,(주)컨텐츠 빌리지,
20206942,새엄마의 맛,,70.0,2019.0,20200325,개봉,장편,일본,멜로/로맨스,드라마,코이케.Jp,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20206924,마을의섹스규칙:한여자 세남자,,60.0,2018.0,20200325,개봉,장편,일본,멜로/로맨스,드라마,토미죠 타로,,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20206941,동거:세여자 한남자,,70.0,2019.0,20200325,개봉,장편,일본,멜로/로맨스,드라마,이케지마 유타카,Yutaka Ikejima,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20206923,도시남녀:쾌락의 절정,,68.0,2019.0,20200325,개봉,장편,일본,멜로/로맨스,드라마,마츠오카 쿠니히코,Kunihiko Matsuoka,,,청소년관람불가,20114899.0,(주)영진크리에이티브,
20204107,주디,Judy,117.0,2019.0,20200325,개봉,장편,영국,드라마,멜로/로맨스,루퍼트 굴드,Rupert Goold,르네 젤위거,Renee Zellweger,12세이상관람가,20139196.0,TCO(주)더콘텐츠온,THE CONTENTS ON
20193648,네 멋대로 해라: 장 뤽 고다르,Le Redoutable,107.0,2017.0,20200319,개봉,장편,프랑스,코미디,드라마,미셀 하자나비시우스,Michel Hazanavicius,스테이시 마틴,Stacy Martin,15세이상관람가,20142048.0,(주)이수C&E,
20190734,그 누구도 아닌,Orphan,111.0,2016.0,20200326,개봉,장편,프랑스,드라마,,아르노 데 팔리에르,Arnaud des Pallieres,아델 에넬,Adele Haenel,15세이상관람가,20123058.0,그린나래미디어(주),GREEN NARAE MEDIA
20190640,온다,IT COMES,134.0,2018.0,20200326,개봉,장편,일본,공포(호러),,나카시마 테츠야,Tetsuya Nakashima,오카다 준이치,Junichi Okada,15세이상관람가,20188741.0,(주)트리플픽쳐스,Triple Pictures Inc.
