movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,prdtStatNm,typeNm,nationNm,genres_1,genres_2,directorNm,directorNmEn,actor1_Nm,actor1_NmEn,watchGradeNm,dist_companyCd,dist_companyNm,dist_companyNmEn,view
20147669,엑스맨: 데이즈 오브 퓨처 패스트,X-Men: Days of Future Past,134.0,2014.0,20140522,개봉,장편,미국,액션,판타지,브라이언 싱어,Bryan Singer,휴 잭맨,Hugh Jackman,12세이상관람가,20100041.0,이십세기폭스코리아(주),20th Century Fox Korea,4313871
20148967,침입자들 : 로봇의 역습,Echo Drive,79.0,2013.0,20140515,개봉,장편,미국,액션,드라마,패트릭 라이언 심즈,Patrick Ryan Sims,데인 보우먼,Dane Bowman,12세이상관람가,20110752.0,(주)미디어데이,Mediaday,3672
20148849,슈퍼스톰,Seattle Superstorm,88.0,2012.0,20140515,개봉,장편,미국,SF,액션,제이슨 부케,Jason Bourque,에사이 모랄레스,Esai Morales,15세이상관람가,20136655.0,스크린조이,,1334
20147874,고질라,Godzilla,122.0,2014.0,20140515,개봉,장편,미국,액션,SF,가렛 에드워즈,Gareth Edwards,애런 존슨,Aaron Johnson,12세이상관람가,20100043.0,워너브러더스 코리아(주),Warner Bros. Korea,709734
20148814,헬벤더스: 최후의 성전,Hellbenders,86.0,2012.0,20140501,개봉,장편,미국,공포(호러),스릴러,J.T. 페티,J.T. Petty,클립튼 콜린스 주니어,Clifton Collins Jr.,청소년관람불가,20112175.0,(주)소나무픽쳐스,Sonamu Pictures,1801
20147883,블러드 타이즈,Blood Ties,127.0,2013.0,20140327,개봉,장편,미국,범죄,액션,기욤 까네,Guillaume Canet,클라이브 오웬,Clive Owen,청소년관람불가,20139135.0,(주)영화사 빅,Big Film,5828
20147969,온 더 로드,On the Road,139.0,2012.0,20140327,개봉,장편,영국,어드벤처,드라마,월터 살레스,Walter Salles,샘 라일리,Sam Riley,청소년관람불가,20141039.0,하준사,Hajunsa,2622
20134271,타인의 아내를 사랑하다,AFINIDADES,89.0,2010.0,20140109,개봉,장편,스페인,멜로/로맨스,코미디,블라디미르 크루즈,Vladimir Cruz,블라디미르 크루즈,Vladimir Cruz,청소년관람불가,20112175.0,(주)소나무픽쳐스,Sonamu Pictures,5060
20134072,스위니,The Sweeney,112.0,2012.0,20140417,개봉,장편,영국,액션,범죄,닉 러브,Nick Love,레이 윈스톤,Ray Winstone,청소년관람불가,20111582.0,(주)엣나인필름,"Atnine Film Co., Ltd.",1133
20058765,두갈: 마법의 회전목마,The Magic Roundabout,81.0,2005.0,20140306,개봉,장편,영국,애니메이션,코미디,데이브 보스윅,Dave Borthwick,로비 윌리엄스,Robbie Williams,전체관람가,20138575.0,브릿지웍스 엔터테인먼트(주),"Bridgeworks Entertainment., Ltd",8297
20130522,트랜센던스,Transcendence,119.0,2014.0,20140514,개봉,장편,미국,SF,액션,월리 피스터,Wally Pfister,조니 뎁,Johnny Depp,12세이상관람가,20100520.0,롯데쇼핑㈜롯데엔터테인먼트,"Lotte shopping Lotte Entertainment Co.,Ltd",696436
20148615,히트맨 NO.2 : 살인면허,Interview With a Hitman,96.0,2012.0,20140508,개봉,장편,영국,스릴러,액션,페리 반달,Perry Bhandal,루크 고스,Luke Goss,청소년관람불가,20136655.0,스크린조이,,3067
20148629,엠파이어 스테이트,Empire State,93.0,2013.0,20140508,개봉,장편,미국,액션,,디토 몬티엘,Dito Montiel,리암 헴스워스,Liam Hemsworth,청소년관람불가,2013216.0,(주)박수엔터테인먼트,Boxoo Entertainment  ,6228
20147683,라스트베가스,Last Vegas,104.0,2013.0,20140508,개봉,장편,미국,코미디,,존 터틀타웁,Jon Turteltaub,마이클 더글라스,Michael Douglas,15세이상관람가,20101104.0,(주)나이너스엔터테인먼트,9ers Entertainment,177938
20148494,"의궤, 8일간의 축제 3D",8 days: the two faces of feast,73.0,2013.0,20140417,개봉,장편,한국,다큐멘터리,,최필곤,,여진구,YEO Jin-gu,전체관람가,20100378.0,케이비에스미디어(주),,7956
20148690,잔다라 더 피날레,Jan Dara: The Finale,111.0,2013.0,20140501,개봉,장편,태국,드라마,멜로/로맨스,M.L. 반데바노프 데바쿤,M.L. Pundhevanop Dhewakul,마리오 마우러,Mario Maurer,청소년관람불가,20139095.0,(주)퍼스트런,First Run Inc.,1546
20148277,몬스터 왕국,Beyond Beyond,78.0,2014.0,20140501,개봉,장편,덴마크,애니메이션,어드벤처,에스벤 토프트 야콥슨,Esben Toft Jacobsen,,,전체관람가,20114672.0,씨너스엔터테인먼트(주),CINUS ENTERTAINMENT,37816
20138962,리오 2,Rio 2,101.0,2014.0,20140501,개봉,장편,미국,애니메이션,코미디,카를로스 살다나,Carlos Saldanha,제시 아이젠버그,Jesse Eisenberg,전체관람가,20100041.0,이십세기폭스코리아(주),20th Century Fox Korea,765961
20148208,그랜드 피아노,Grand Piano,90.0,2013.0,20140417,개봉,장편,스페인,스릴러,,유지니오 미라,Eugenio Mira,일라이저 우드,Elijah Wood,15세이상관람가,20141088.0,와이드 릴리즈(주),Wide Release,20961
20133601,천재 강아지 미스터 피바디,Mr. Peabody & Sherman,92.0,2014.0,20140424,개봉,장편,미국,애니메이션,어드벤처,롭 민코프,Rob Minkoff,티 버렐,Ty Burrell,전체관람가,20110854.0,(주)씨제이이엔엠,CJ ENM Corp.,385552
20148551,넥스트 제네레이션 패트레이버,The Next Generation: Patlabor,63.0,2014.0,20140424,개봉,장편,일본,액션,SF,오시이 마모루,Mamoru Oshii,마노 에리나,Erina Mano,12세이상관람가,20141088.0,와이드 릴리즈(주),Wide Release,3488
20137077,맛,,96.0,2013.0,20140116,개봉,장편,한국,멜로/로맨스,드라마,경석호,,서지현,JI-HYEON SEO,청소년관람불가,20139136.0,(주)스크린다,,5057
20136805,파가니니: 악마의 바이올리니스트,Paganini: The Devil’s Violinist,118.0,2013.0,20140423,개봉,장편,이탈리아,드라마,뮤지컬,버나드 로즈,Bernard Rose,데이비드 가렛,David Garrett,15세이상관람가,20114672.0,씨너스엔터테인먼트(주),CINUS ENTERTAINMENT,36808
20135661,어메이징 스파이더맨 2,The Amazing Spider-Man 2,142.0,2014.0,20140423,개봉,장편,미국,액션,판타지,마크 웹,Marc Webb,앤드류 가필드,Andrew Garfield,12세이상관람가,20125636.0,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),SONY PICTURES RELEASING WALT DISNEY STUDIOS (KOREA) INC.,4168353
20148535,가자! 장미여관으로 2 - 갈증,,87.0,2014.0,20140410,개봉,장편,한국,멜로/로맨스,,김봉은,KIM Bong-eun,강경돈,GANG Gyeong-don,청소년관람불가,20138995.0,(주)에이블엔터테인먼트,ABLE ENTERTAINMENT,3534
20148462,왕의 이름으로 2,In The Name Of The King 2,96.0,2011.0,20140403,개봉,장편,독일,액션,어드벤처,우베 볼,Uwe Boll,돌프 룬드그렌,Dolph Lundgren,15세이상관람가,20112175.0,(주)소나무픽쳐스,Sonamu Pictures,3173
20148213,은밀한 가족,Miss Violence,99.0,2013.0,20140410,개봉,장편,그리스,드라마,,알렉산드로스 아브라나스,Alexandros Avranas,테미스 파누,Themis Panou,청소년관람불가,20139757.0,(주)엔케이컨텐츠,,1045
20147694,슈퍼미니,Minuscule: Valley of the Lost Ants,88.0,2013.0,20140410,개봉,장편,프랑스,애니메이션,액션,토마스 자보,Thomas Szabo,,,전체관람가,20100285.0,판씨네마(주),Pancinema Corp.,92447
20147557,이디야와 얼음왕국의 전설,The Legend of Sarila,81.0,2013.0,20140227,개봉,장편,캐나다,애니메이션,어드벤처,낸시 플로렌스 사바드,Nancy Florence Savard,장민혁,JANG Min-hyuk,전체관람가,20110752.0,(주)미디어데이,Mediaday,18179
20148518,거꾸로 된 파테마,Patema Inverted,98.0,2013.0,20140417,개봉,장편,일본,애니메이션,,요시우라 야스히로,Yasuhiro Yoshiura,우치다 마아야,Maaya Uchida,12세이상관람가,20101087.0,에이원엔터테인먼트,,1957
20148212,아워즈,Hours,96.0,2013.0,20140416,개봉,장편,미국,드라마,스릴러,에릭 헤이저러,Eric Heisserer,폴 워커,Paul Walker,15세이상관람가,2013216.0,(주)박수엔터테인먼트,Boxoo Entertainment  ,2492
20147283,다이버전트,Divergent,139.0,2014.0,20140416,개봉,장편,미국,SF,판타지,닐 버거,Neil Burger,쉐일린 우들리,Shailene Woodley,15세이상관람가,20100520.0,롯데쇼핑㈜롯데엔터테인먼트,"Lotte shopping Lotte Entertainment Co.,Ltd",424090
20148232,니드 포 스피드,Need for Speed,130.0,2014.0,20140416,개봉,장편,미국,액션,범죄,스캇 워프,Scott Waugh,아론 폴,Aaron Paul,15세이상관람가,20125636.0,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),SONY PICTURES RELEASING WALT DISNEY STUDIOS (KOREA) INC.,105340
20147609,헤라클레스 : 레전드 비긴즈,The legend of Hercules,98.0,2014.0,20140410,개봉,장편,미국,액션,판타지,레니 할린,Renny Harlin,스콧 앳킨스,Scott Adkins,15세이상관람가,20100932.0,(주)넥스트엔터테인먼트월드(NEW),Next Entertainment World,221341
20148068,더 체이스,Mea Culpa,89.0,2014.0,20140410,개봉,장편,프랑스,액션,스릴러,프레드 카바예,Fred Cavaye,뱅상 랭동,Vincent Lindon,15세이상관람가,20114672.0,씨너스엔터테인먼트(주),CINUS ENTERTAINMENT,5177
20136578,녀녀녀,,94.0,2013.0,20140410,개봉,장편,한국,멜로/로맨스,코미디,한승림,HAN Seung-lim,신주아,Sin Ju-a ,청소년관람불가,20123221.0,골든타이드픽처스(주),Golden Tide Pictures,1694
20147787,레커스,Wreckers,84.0,2011.0,20140403,개봉,장편,영국,멜로/로맨스,,D.R. 후드,D.R. Hood,베네딕트 컴버배치,Benedict Cumberbatch,청소년관람불가,20100036.0,㈜인디스토리,INDIESTORY Inc. ,2263
20147848,꼬마영웅 경찰차 프로디2,Ploddy The Police Car on the Case,72.0,2013.0,20140320,개봉,장편,노르웨이,애니메이션,어드벤처,라스무스 A. 실버르센,Rasmus A. Sivertsen,이선,LEE Sun,전체관람가,20100829.0,예지림엔터테인먼트,,25149
20136736,초원의 왕 도제,The Tibetan Dog,90.0,2011.0,20140327,개봉,장편,일본,애니메이션,어드벤처,코지마 마사유키,Masayuki Kojima,하마다 타츠오미,Tatsuomi Hamada,전체관람가,20101104.0,(주)나이너스엔터테인먼트,9ers Entertainment,21424
20133142,르누아르,Renoir,111.0,2012.0,20140213,개봉,장편,프랑스,드라마,,질 부르도스,Gilles Bourdos,미셸 부케,Michel Bouquet,청소년관람불가,20100892.0,프리비젼엔터테인먼트,Prevision Entertainment,12475
20147567,체르노빌 다이어리,Chernobyl Diaries,85.0,2012.0,20140213,개봉,장편,미국,공포(호러),스릴러,브래들리 파커,Bradley Parker,제시 맥카트니,Jesse McCartney,15세이상관람가,20110752.0,(주)미디어데이,Mediaday,1250
20116046,오빠가 돌아왔다,Total Messed Family,93.0,2010.0,20140320,개봉,장편,한국,코미디,드라마,노진수,NO Zin-soo,손병호,SON Byungho,청소년관람불가,20101135.0,주식회사 마운틴픽쳐스,"Mountain Pictures Co.,Ltd",1958
20131841,조난자들,Intruders,98.0,2012.0,20140306,개봉,장편,한국,미스터리,스릴러,노영석,NOH Young-seok,전석호,JEON Suk-ho,15세이상관람가,20110854.0,(주)씨제이이엔엠,CJ ENM Corp.,13190
20147953,론 서바이버,Lone Survivor,121.0,2013.0,20140402,개봉,장편,미국,액션,드라마,피터 버그,Peter Berg,마크 월버그,Mark Wahlberg,15세이상관람가,20100603.0,유니버설픽쳐스인터내셔널 코리아(유),Universal Pictures International Korea,190611
20147971,짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,Crayon Shin-chan: Baka-uma! B-kyu Gourmet Survival!!,95.0,2013.0,20140403,개봉,장편,일본,애니메이션,,하시모토 마사카즈,Masakazu Hashimoto,박영남,PARK Yoeng-nam,전체관람가,20100520.0,롯데쇼핑㈜롯데엔터테인먼트,"Lotte shopping Lotte Entertainment Co.,Ltd",84306
20147509,세이빙 미스터 뱅크스,Saving Mr. Banks,125.0,2013.0,20140403,개봉,장편,호주,코미디,드라마,존 리 행콕,John Lee Hancock,톰 행크스,Tom Hanks,12세이상관람가,20125636.0,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),SONY PICTURES RELEASING WALT DISNEY STUDIOS (KOREA) INC.,12957
20148211,미피의 동물원 보물찾기,Miffy the movie,70.0,2013.0,20140327,개봉,장편,네덜란드,애니메이션,,한스 퍼크,Hans Perk,바리 아츠마,Barry Atsma,전체관람가,20111211.0,(주)케이티알파,kt alpha,3102
20148071,청춘학당 : 풍기문란 보쌈 야사,A Case of Bachelor Abduction,89.0,2013.0,20140327,개봉,장편,한국,멜로/로맨스,코미디,도창훈,,이태리,LEE Tae-li,청소년관람불가,2013216.0,(주)박수엔터테인먼트,Boxoo Entertainment  ,3772
20148130,스티븐 시걸의 CIA,TRUE JUSTICE SEASON2 : BLOOD ALLEY,90.0,2012.0,20140320,개봉,장편,미국,액션,범죄,웨인 로즈,Wayne Rose,스티븐 시걸,Steven Seagal,청소년관람불가,20112175.0,(주)소나무픽쳐스,Sonamu Pictures,1120
