runTm,nation,genre,director,actor,is_adult,distributor,view,openMonth
84,3,2,황정보,유덕화,1,쇼이스트(주),12317,10
102,2,8,닉 햄,그렉 키니어,0,(주)시네마서비스,33405,9
113,1,5,이환경,송승헌,0,프라임픽쳐스,372591,7
95,2,8,마티유 카소비츠,할리 베리,0,소니픽쳐스릴리징코리아,23473,4
113,2,1,P.J. 호건,레이첼 허드-우드,0,소니픽쳐스릴리징코리아,141716,1
95,2,5,존 파브로,윌 페렐,0,이십세기폭스코리아(주),57377,12
98,3,1,다니스 타노비치,브랑코 쥬리치,0,(주)영화사 백두대간,10061,12
97,1,5,구자홍,황정민,0,(주)쇼박스,47731,4
91,2,5,마이크 미첼,제임스 갠돌피니,0,CJ ENM,27088,12
100,3,2,프라챠 핀카엡,토니 자,0,(주)쇼박스,148406,5
114,1,5,김경형,주진모,1,CJ ENM,108156,4
110,1,5,조진규,김아중,0,CJ ENM,119884,3
100,3,1,오시마 나기사,마츠다 류헤이,0,(주)오시네마,1613,4
125,2,1,알레한드로 곤잘레스 이냐리투,숀 펜,1,(주)영화사한결,64551,10
101,3,1,니키 카로,케이샤 캐슬-휴즈,0,무비즈엔터테인먼트(주),13300,10
98,2,10,모간 스퍼록,모간 스퍼록,0,(주)스튜디오이쩜영,4334,11
108,3,1,가브리엘 살바토레,마티아 디 피에로,0,(주)씨네진,2074,8
86,3,12,안태근,구자형,0,(주)시네마서비스,41825,11
112,3,5,장애가,장애가,0,소니픽쳐스릴리징코리아,1550,10
93,3,1,까트린느 브레이야,아나이스 르부,1,(주)영화사 백두대간,8623,8
81,2,11,구스 반 산트,알렉스 프로스트,1,(주)동숭아트센터,12833,8
102,2,7,소피아 코폴라,빌 머레이,0,CJ ENM,33859,2
119,3,1,이마무라 쇼헤이,시미즈 미사,1,(주)동숭아트센터,1558,4
123,2,10,마이클 무어,마이클 무어,0,스튜디오플러스(주),177255,7
84,2,2,로버트 로드리게즈,알레한드로 로즈-가르시아,0,CJ ENM,6530,2
90,2,2,폴 W.S. 앤더슨,라울 보바,0,이십세기폭스코리아(주),180626,9
120,3,1,파티 아킨,시벨 케킬리,1,제이에스필름,17016,11
87,2,5,피터 휴잇,빌 머레이,0,이십세기폭스코리아(주),240236,8
96,3,5,기타노 다케시,야나기 유레이,1,(주)스폰지이엔티,1777,8
92,1,8,유상곤,송윤아,0,(주)시네마서비스,238950,6
100,3,8,잭 스나이더,사라 폴리,1,UIP코리아,106515,5
116,2,2,리차드 도너,제라드 버틀러,0,(주)튜브엔터테인먼트,23130,2
94,2,2,윌리엄 프리드킨,베니치오 델 토로,1,(주)튜브엔터테인먼트,28732,3
89,3,7,피터 호윗,피어스 브로스넌,0,코리아픽쳐스(주),65383,11
90,2,5,프랑코 코라시,성룡,0,(주)쇼박스,478555,9
87,2,7,가이 퍼랜드,로몰라 가레이,0,아우라엔터테인먼트,24876,4
88,3,8,시모야마 텐,마츠오 레이코,0,무비즈엔터테인먼트(주),2959,4
125,3,1,다카하타 히데타,쿠사나기 츠요시,0,CJ ENM,4358,9
103,1,5,오덕환,은지원,0,무비즈엔터테인먼트(주),57943,12
100,1,1,이규형,김정훈,1,영화사청어람(주),102233,11
83,1,1,서세원,유오성,0,(주)소스원프로덕션,20318,9
74,1,12,안태근,김용준,0,스폰지,36200,8
99,2,5,롭 민코프,에디 머피,0,소니픽쳐스릴리징코리아,9883,4
