movieCd,movieNm,openDt
20050270,과거가 없는 남자,20051014
20050162,카페 뤼미에르,20051020
20050017,달콤한 인생,20050401
20050232,내 생애 가장 아름다운 일주일,20051007
20050123,에로스,20050630
20050045,"안녕, 형아",20050527
20050292,광식이 동생 광태,20051123
20040774,몽정기2,20050114
20050007,그때 그 사람들,20050203
20050118,릴리 슈슈의 모든 것,20050623
20050310,해리 포터와 불의 잔,20051201
20040798,클로저,20050203
20050042,"지금, 만나러 갑니다",20050325
20040784,시티 오브 갓,20051104
20050112,배트맨 비긴즈,20050624
20050239,너는 내 운명,20050923
20050009,몽상가들,20050325
20050148,친절한 금자씨,20050729
20050077,댄서의 순정,20050428
20050342,청연,20051229
20050180,웰컴 투 동막골,20050804
20050163,왕후 심청,20050811
20050216,형사 Duelist,20050908
20050283,"소년, 천국에 가다",20051111
20050173,갇힌 여인,20051223
20050164,더 독,20050916
20050027,코러스,20050303
20050041,인게이지먼트,20050311
20050028,밀리언 달러 베이비,20050310
20050280,미스터 소크라테스,20051110
20050333,왕의 남자,20051229
20040790,뉴 폴리스 스토리,20050121
20050025,피와 뼈,20050225
20050250,당신이 사랑하는 동안에,20051013
20050038,아무도 모른다,20050401
20050241,빛나는 거짓,20050916
20050010,콘스탄틴,20050208
20050078,킹덤 오브 헤븐,20050504
20050008,B형 남자친구,20050203
20050135,분홍신,20050630
20050083,연애술사,20050520
20040744,샤크,20050107
20050046,남극일기,20050519
20050233,강력 3반,20050929
20040776,쿵푸 허슬,20050114
20040775,키다리 아저씨,20050114
20050011,파송송 계란탁,20050218
20040778,마파도,20050310
20050110,연애의 목적,20050610
20050178,박수칠 때 떠나라,20050811
20050160,가발,20050812
20050282,러브토크,20051111
20050323,연애,20051209
20050245,사랑니,20050929
20050049,주먹이 운다(Crying Fist),20050401
20050220,외출,20050907
20040786,공공의 적 2,20050127
20050288,무영검,20051118
20040785,말아톤,20050127
20050197,종려나무 숲,20050915
20050271,오로라 공주,20051027
