movieCd,movieNm,showTm,nationNm,genres_1,directorNm,actor1_Nm,dist_companyNm,view,openMonth,is_adult
20040763,쿼바디스 도미네,144.0,3,1,예르지 카발레로비치,파웰 데라그,신한영화(주),1932,12,0.0
20040661,섹스 이즈 코메디,94.0,3,5,까트린느 브레이야,그레고리 콜린,㈜영화사 백두대간,4230,09,1.0
20040464,8명의 여인들,110.0,3,5,프랑수아 오종,까뜨린느 드뇌브,무비즈엔터테인먼트㈜,17951,02,0.0
20040722,러브 인 아프리카,120.0,3,1,까롤리네 링크,메랍 니니트쩨,(주)튜브엔터테인먼트,4590,12,0.0
20040621,맥덜,75.0,3,12,원건도,황추생,(주)스폰지이엔티,3812,09,0.0
20040469,신설국,109.0,3,1,코토 코이치,오쿠다 에이지,(주)동아수출공사,1308,02,1.0
20040600,프레디 대 제이슨-13일의 금요일11,96.0,2,8,우인태,켈리 로랜드,(주)영화사한결,47430,08,1.0
20040540,밝은 미래,92.0,3,1,구로사와 기요시,아사노 타다노부,(주)미로비젼,2242,04,0.0
20040716,모터사이클 다이어리,124.0,3,1,월터 살레스,가엘 가르시아 베르날,UIP코리아,91382,11,0.0
20040752,까불지마,100.0,1,1,오지명,오지명,영화사청어람(주),155308,12,0.0
20040692,강호,84.0,3,2,황정보,유덕화,쇼이스트(주),12317,10,1.0
20040607,갓센드,102.0,2,8,닉 햄,그렉 키니어,(주)시네마서비스,33405,09,0.0
20040498,그놈은 멋있었다,113.0,1,5,이환경,송승헌,프라임픽쳐스,372591,07,0.0
20040528,고티카,95.0,2,8,마티유 카소비츠,할리 베리,한국소니픽쳐스릴리징브에나비스타영화㈜,23473,04,0.0
20040442,피터 팬,113.0,2,1,P.J. 호건,레이첼 허드-우드,한국소니픽쳐스릴리징브에나비스타영화㈜,141716,01,0.0
20040736,엘프,95.0,2,5,존 파브로,윌 페렐,이십세기폭스코리아(주),57377,12,0.0
20040753,노 맨스 랜드,98.0,3,1,다니스 타노비치,브랑코 쥬리치,㈜영화사 백두대간,10061,12,0.0
20040486,마지막 늑대,97.0,1,5,구자홍,황정민,(주)쇼박스,47731,04,0.0
20040746,서바이빙 크리스마스,91.0,2,5,마이크 미첼,제임스 갠돌피니,CJ ENM,27088,12,0.0
20040570,옹박 - 무에타이의 후예,100.0,3,2,프라챠 핀카엡,토니 자,(주)쇼박스,148406,05,0.0
20040537,라이어,114.0,1,5,김경형,주진모,CJ ENM,108156,04,1.0
20040456,어깨동무,110.0,1,5,조진규,김아중,CJ ENM,119884,03,0.0
20040542,고하토,100.0,3,1,오시마 나기사,마츠다 류헤이,(주)오시네마,1613,04,0.0
20040680,21 그램,125.0,2,1,알레한드로 곤잘레스 이냐리투,숀 펜,(주)영화사한결,64551,10,1.0
20040677,웨일 라이더,101.0,3,1,니키 카로,케이샤 캐슬-휴즈,무비즈엔터테인먼트㈜,13300,10,0.0
20040709,슈퍼 사이즈 미,98.0,2,10,모간 스퍼록,모간 스퍼록,(주)스튜디오이쩜영,4334,11,0.0
20040627,아임 낫 스케어드,108.0,3,1,가브리엘 살바토레,마티아 디 피에로,(주)씨네진,2074,08,0.0
20040739,신암행어사,86.0,3,12,안태근,구자형,(주)시네마서비스,41825,11,0.0
20040699,20 30 40,112.0,3,5,장애가,장애가,한국소니픽쳐스릴리징브에나비스타영화㈜,1550,10,0.0
20040660,팻 걸,93.0,3,1,까트린느 브레이야,아나이스 르부,㈜영화사 백두대간,8623,08,1.0
20040653,엘리펀트,81.0,2,11,구스 반 산트,알렉스 프로스트,(주)동숭아트센터,12833,08,1.0
20040476,사랑도 통역이 되나요?,102.0,2,7,소피아 코폴라,빌 머레이,CJ ENM,33859,02,0.0
20040562,붉은 다리 아래 따뜻한 물,119.0,3,1,이마무라 쇼헤이,시미즈 미사,(주)동숭아트센터,1558,04,1.0
20040610,화씨 911,123.0,2,10,마이클 무어,마이클 무어,스튜디오플러스(주),177255,07,0.0
20040459,스파이 키드 3D,84.0,2,2,로버트 로드리게즈,알레한드로 로즈-가르시아,CJ ENM,6530,02,0.0
20040648,에이리언 VS 프레데터,90.0,2,2,폴 W.S. 앤더슨,라울 보바,이십세기폭스필름코퍼레이션,180626,09,0.0
20040712,미치고 싶을 때,120.0,3,1,파티 아킨,시벨 케킬리,제이에스필름,17016,11,1.0
20040616,가필드,87.0,2,5,피터 휴잇,빌 머레이,이십세기폭스필름코퍼레이션,240236,08,0.0
20040634,3-4X10월,96.0,3,5,기타노 다케시,야나기 유레이,(주)스폰지이엔티,1777,08,1.0
20040589,페이스,92.0,1,8,유상곤,송윤아,(주)시네마서비스,238950,06,0.0
20040553,새벽의 저주,100.0,3,8,잭 스나이더,사라 폴리,UIP코리아,106515,05,1.0
20040448,타임라인,116.0,2,2,리차드 도너,제라드 버틀러,(주)튜브엔터테인먼트,23130,02,0.0
20040512,헌티드,94.0,2,2,윌리엄 프리드킨,베니치오 델 토로,(주)튜브엔터테인먼트,28732,03,1.0
20040723,사랑에 빠지는 아주 특별한 법칙,89.0,3,7,피터 호윗,피어스 브로스넌,코리아픽쳐스(주),65383,11,0.0
20040642,80일간의 세계 일주,90.0,2,5,프랑코 코라시,성룡,(주)쇼박스,478555,09,0.0
20040521,더티 댄싱 - 하바나 나이트,87.0,2,7,가이 퍼랜드,로몰라 가레이,아우라엔터테인먼트,24876,04,0.0
20040546,오토기리소우,88.0,3,8,시모야마 텐,마츠오 레이코,무비즈엔터테인먼트㈜,2959,04,0.0
20040675,호텔 비너스,125.0,3,1,다카하타 히데타,쿠사나기 츠요시,CJ ENM,4358,09,0.0
20040766,여고생 시집가기,103.0,1,5,오덕환,은지원,무비즈엔터테인먼트㈜,57943,12,0.0
20040738,"DMZ, 비무장지대",100.0,1,1,이규형,김정훈,영화사청어람(주),102233,11,1.0
20040647,도마 안중근,83.0,1,1,서세원,유오성,(주)소스원프로덕션,20318,09,0.0
20040565,망치,74.0,1,12,안태근,김용준,스폰지,36200,08,0.0
20040550,헌티드 맨션,99.0,2,5,롭 민코프,에디 머피,한국소니픽쳐스릴리징브에나비스타영화㈜,9883,04,0.0
20040443,페이첵,119.0,2,2,오우삼,벤 애플렉,CJ ENM,131390,01,0.0
20040760,6월의 뱀,77.0,3,1,츠카모토 신야,구로사와 아스카,(주)마블엔터테인먼트,2718,12,1.0
20040730,영 아담,97.0,3,1,데이빗 맥킨지,이완 맥그리거,롯데쇼핑㈜롯데엔터테인먼트,22769,12,1.0
20040715,포가튼,97.0,2,3,조셉 루벤,크리스토퍼 코바레스키,한국소니픽쳐스릴리징브에나비스타영화㈜,198010,12,0.0
20040740,클린,110.0,3,1,올리비에 아사야스,장만옥,(주)스폰지이엔티,6942,11,0.0
20040731,엑소시스트: 더 비기닝,114.0,2,8,레니 할린,이자벨라 스코럽코,워너브러더스 코리아(주),77126,11,1.0
20040720,택시: 더 멕시멈,97.0,2,2,팀 스토리,지젤 번천,이십세기폭스필름코퍼레이션,134885,11,0.0
20040711,화이트 칙스,108.0,2,5,키넌 아이보리 웨이언스,숀 웨이언스,한국소니픽쳐스릴리징브에나비스타영화㈜,79186,11,0.0
20040708,피구의 제왕,92.0,2,5,로슨 마샬 터버,벤 스틸러,이십세기폭스필름코퍼레이션,7901,11,0.0
20040696,레지던트 이블 2-아포칼립스,95.0,2,2,알렉산더 윗,오데드 페르,(주)시네마서비스,363273,11,1.0
20040685,프린세스 다이어리 2,115.0,2,7,게리 마샬,줄리 앤드류스,한국소니픽쳐스릴리징브에나비스타영화㈜,128615,10,0.0
20040676,스텝포드 와이프,93.0,2,5,프랭크 오즈,니콜 키드먼,CJ ENM,171805,10,0.0
20040670,맨 온 파이어,147.0,2,2,토니 스콧,덴젤 워싱턴,이십세기폭스필름코퍼레이션,307751,09,0.0
20040669,캣우먼,105.0,2,2,피토프,할리 베리,워너브러더스 코리아(주),184929,09,0.0
20040650,빌리지,108.0,2,8,M. 나이트 샤말란,호아킨 피닉스,한국소니픽쳐스릴리징브에나비스타영화㈜,378950,09,0.0
20040668,워킹 톨,87.0,2,2,케빈 브레이,조니 녹스빌,이십세기폭스필름코퍼레이션,1069,09,0.0
20040667,퍼니셔,124.0,2,2,조나단 헨스라이,토마스 제인,한국소니픽쳐스릴리징브에나비스타영화㈜,5679,09,1.0
20040581,퀸카로 살아남는 법,97.0,2,5,마크 S. 워터스,린제이 로한,UIP코리아,88261,09,0.0
20040532,셧업,85.0,3,5,프랑시스 베베르,제라르 드빠르디유,쇼이스트(주),18636,08,0.0
20040623,헬보이,122.0,2,2,길예르모 델 토로,셀마 블레어,한국소니픽쳐스릴리징브에나비스타영화㈜,114745,08,0.0
20040615,본 슈프리머시,110.0,2,2,폴 그린그래스,맷 데이먼,UIP코리아,370894,08,0.0
20040618,리딕 - 헬리온 최후의 빛,115.0,2,2,데이빗 토히,빈 디젤,CJ ENM,288900,08,0.0
20040630,카우 삼총사,73.0,2,12,윌 핀,랜디 퀘이드,한국소니픽쳐스릴리징브에나비스타영화㈜,5592,08,0.0
20040629,나에게 유일한,88.0,3,5,가브리엘 무치노,실비오 무치노,(주)동숭아트센터,3002,08,0.0
20040614,인형사,89.0,1,8,정용기,임은경,롯데쇼핑㈜롯데시네마,214709,07,0.0
