runTm,nation,genre,director,actor,is_adult,distributor,view,openMonth
75.0,3,12,원건도,황추생,0.0,(주)스폰지이엔티,3812,09
109.0,3,1,코토 코이치,오쿠다 에이지,1.0,(주)동아수출공사,1308,02
96.0,2,8,우인태,켈리 로랜드,1.0,(주)영화사한결,47430,08
92.0,3,1,구로사와 기요시,아사노 타다노부,0.0,(주)미로비젼,2242,04
124.0,3,1,월터 살레스,가엘 가르시아 베르날,0.0,UIP코리아,91382,11
100.0,1,1,오지명,오지명,0.0,영화사청어람(주),155308,12
84.0,3,2,황정보,유덕화,1.0,쇼이스트(주),12317,10
102.0,2,8,닉 햄,그렉 키니어,0.0,(주)시네마서비스,33405,09
113.0,1,5,이환경,송승헌,0.0,프라임픽쳐스,372591,07
95.0,2,8,마티유 카소비츠,할리 베리,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,23473,04
113.0,2,1,P.J. 호건,레이첼 허드-우드,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,141716,01
95.0,2,5,존 파브로,윌 페렐,0.0,이십세기폭스코리아(주),57377,12
98.0,3,1,다니스 타노비치,브랑코 쥬리치,0.0,㈜영화사 백두대간,10061,12
97.0,1,5,구자홍,황정민,0.0,(주)쇼박스,47731,04
91.0,2,5,마이크 미첼,제임스 갠돌피니,0.0,CJ ENM,27088,12
100.0,3,2,프라챠 핀카엡,토니 자,0.0,(주)쇼박스,148406,05
114.0,1,5,김경형,주진모,1.0,CJ ENM,108156,04
110.0,1,5,조진규,김아중,0.0,CJ ENM,119884,03
100.0,3,1,오시마 나기사,마츠다 류헤이,0.0,(주)오시네마,1613,04
125.0,2,1,알레한드로 곤잘레스 이냐리투,숀 펜,1.0,(주)영화사한결,64551,10
101.0,3,1,니키 카로,케이샤 캐슬-휴즈,0.0,무비즈엔터테인먼트㈜,13300,10
98.0,2,10,모간 스퍼록,모간 스퍼록,0.0,(주)스튜디오이쩜영,4334,11
108.0,3,1,가브리엘 살바토레,마티아 디 피에로,0.0,(주)씨네진,2074,08
86.0,3,12,안태근,구자형,0.0,(주)시네마서비스,41825,11
112.0,3,5,장애가,장애가,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,1550,10
